company_id,year,capital_allocation,free_cash_flow,fcf_conversion,capex_intensity
BEL,Mar 2013,Unknown,214.0,31.99,27.95
BEL,Mar 2014,Unknown,190.0,20.54,11.64
BEL,Mar 2015,Reinvestor,595.0,50.47,11.83
BEL,Mar 2016,Reinvestor,790.0,56.71,19.99
BEL,Mar 2017,Unknown,3054.0,170.42,35.99
BEL,Mar 2018,Pre-Revenue,-693.0,-33.99,0.06
BEL,Mar 2019,Reinvestor,618.0,21.24,7.37
BEL,Mar 2020,Reinvestor,1921.0,69.63,5.0
BEL,Mar 2021,Reinvestor,2498.0,77.72,18.39
BEL,Mar 2022,Reinvestor,-665.0,-19.89,31.7
BEL,Mar 2023,Liquidating Assets,3907.0,95.53,15.27
BEL,Mar 2024,Reinvestor,-1265.0,-25.04,29.23
BHARTIARTL,Mar 2013,Shareholder Returns,3932.0,17.13,24.27
BHARTIARTL,Mar 2014,Mixed,1052.0,3.97,29.33
BHARTIARTL,Mar 2015,Shareholder Returns,5758.0,17.14,23.21
BHARTIARTL,Mar 2016,Shareholder Returns,13851.0,40.76,14.6
BHARTIARTL,Mar 2017,Shareholder Returns,-2400.0,-6.79,32.14
BHARTIARTL,Mar 2018,Mixed,1914.0,6.36,33.81
BHARTIARTL,Mar 2019,Mixed,-8216.0,-31.89,35.02
BHARTIARTL,Mar 2020,Mixed,-11469.0,-31.33,33.81
BHARTIARTL,Mar 2021,Shareholder Returns,20919.0,46.2,27.12
BHARTIARTL,Mar 2022,Shareholder Returns,13539.0,23.53,35.59
BHARTIARTL,Mar 2023,Shareholder Returns,26093.0,36.61,28.2
BHARTIARTL,Mar 2024,Shareholder Returns,27809.0,35.52,34.06
BHEL,Mar 2013,Mixed,646.0,6.81,2.28
BHEL,Mar 2014,Mixed,3644.0,79.58,2.19
BHEL,Mar 2015,Liquidating Assets,1471.0,68.71,2.08
BHEL,Mar 2016,Liquidating Assets,397.0,-29.26,0.09
BHEL,Mar 2017,Reinvestor,-5.0,-0.46,1.98
BHEL,Mar 2018,Liquidating Assets,1950.0,117.97,3.33
BHEL,Mar 2019,Unknown,-1941.0,-95.52,6.3
BHEL,Mar 2020,Distress Signal,-1015.0,763.16,8.75
BHEL,Mar 2021,Reinvestor,518.0,-16.99,0.24
BHEL,Mar 2022,Reinvestor,-458.0,-55.31,5.27
BHEL,Mar 2023,Distress Signal,739.0,70.79,6.33
BHEL,Mar 2024,Distress Signal,-2382.0,-335.02,5.57
BOSCHLTD,Mar 2015,Reinvestor,213.0,10.75,9.79
BOSCHLTD,Mar 2016,Reinvestor,323.0,17.2,10.26
BOSCHLTD,Mar 2017,Liquidating Assets,2703.0,137.7,11.94
BOSCHLTD,Mar 2018,Reinvestor,559.0,26.71,10.01
BOSCHLTD,Mar 2019,Liquidating Assets,2359.0,109.52,14.61
BOSCHLTD,Mar 2020,Reinvestor,463.0,31.22,8.87
BOSCHLTD,Mar 2021,Reinvestor,372.0,31.99,4.76
BOSCHLTD,Mar 2022,Reinvestor,238.0,16.28,0.28
BOSCHLTD,Mar 2023,Liquidating Assets,1476.0,81.55,1.75
BOSCHLTD,Mar 2024,Liquidating Assets,1536.0,73.32,1.69
BPCL,Mar 2013,Shareholder Returns,2322.0,34.61,1.49
BPCL,Mar 2014,Shareholder Returns,2707.0,28.76,2.6
BPCL,Mar 2015,Shareholder Returns,10206.0,104.36,4.34
BPCL,Mar 2016,Shareholder Returns,1886.0,14.54,4.92
BPCL,Mar 2017,Mixed,-6233.0,-45.22,7.59
BPCL,Mar 2018,Shareholder Returns,4002.0,26.13,3.0
BPCL,Mar 2019,Mixed,-294.0,-1.95,3.5
BPCL,Mar 2020,Mixed,-3254.0,-36.26,3.91
BPCL,Mar 2021,Shareholder Returns,20981.0,99.9,1.07
BPCL,Mar 2022,Shareholder Returns,12198.0,63.74,2.35
BPCL,Mar 2023,Shareholder Returns,4660.0,42.76,1.65
BPCL,Mar 2024,Shareholder Returns,25415.0,57.65,2.35
BRITANNIA,Mar 2013,Liquidating Assets,348.0,82.66,0.45
BRITANNIA,Mar 2014,Shareholder Returns,425.0,67.78,3.56
BRITANNIA,Mar 2015,Shareholder Returns,134.0,15.4,5.73
BRITANNIA,Mar 2016,Shareholder Returns,254.0,20.75,8.4
BRITANNIA,Mar 2017,Shareholder Returns,291.0,22.77,1.66
BRITANNIA,Mar 2018,Shareholder Returns,292.0,19.45,9.65
BRITANNIA,Mar 2019,Shareholder Returns,304.0,17.55,7.71
BRITANNIA,Mar 2020,Mixed,-41.0,-2.22,13.16
BRITANNIA,Mar 2021,Liquidating Assets,2309.0,92.03,3.3
BRITANNIA,Mar 2022,Liquidating Assets,2214.0,100.59,6.47
BRITANNIA,Mar 2023,Shareholder Returns,1019.0,35.99,9.24
BRITANNIA,Mar 2024,Liquidating Assets,3050.0,96.31,2.84
CANBK,Mar 2013,Shareholder Returns,7575.0,104.96,1.28
CANBK,Mar 2014,Shareholder Returns,13864.0,143.88,0.96
CANBK,Mar 2015,Shareholder Returns,5240.0,50.86,2.52
CANBK,Mar 2016,Shareholder Returns,8903.0,50.06,1.01
CANBK,Mar 2017,Mixed,2099.0,13.38,1.15
CANBK,Mar 2018,Growth Funded by Debt,-11607.0,-45.37,1.18
CANBK,Mar 2019,Shareholder Returns,17492.0,64.3,1.55
CANBK,Mar 2020,Growth Funded by Debt,-5734.0,-21.39,0.89
CANBK,Mar 2021,Mixed,58002.0,133.53,1.59
CANBK,Mar 2022,Mixed,-510.0,-1.24,2.02
CANBK,Mar 2023,Growth Funded by Debt,-41134.0,-96.17,1.35
CANBK,Mar 2024,Shareholder Returns,13296.0,28.81,1.58
CHOLAFIN,Mar 2013,Distress Signal,-3749.0,-544.91,0.19
CHOLAFIN,Mar 2014,Growth Funded by Debt,-2530.0,-271.46,2.53
CHOLAFIN,Mar 2015,Growth Funded by Debt,-2304.0,-217.15,1.08
CHOLAFIN,Mar 2016,Growth Funded by Debt,-2946.0,-232.7,3.25
CHOLAFIN,Mar 2017,Growth Funded by Debt,-1690.0,-127.84,4.73
CHOLAFIN,Mar 2018,Growth Funded by Debt,-7986.0,-550.38,1.08
CHOLAFIN,Mar 2019,Growth Funded by Debt,-9328.0,-571.57,0.15
CHOLAFIN,Mar 2020,Growth Funded by Debt,-2129.0,-87.94,0.62
CHOLAFIN,Mar 2021,Growth Funded by Debt,-10594.0,-363.68,18.22
CHOLAFIN,Mar 2022,Distress Signal,-3931.0,-134.35,16.16
CHOLAFIN,Mar 2023,Growth Funded by Debt,-29253.0,-807.87,16.67
CHOLAFIN,Mar 2024,Growth Funded by Debt,-38538.0,-715.65,14.9
CIPLA,Mar 2013,Mixed,-665.0,-10.96,24.92
CIPLA,Mar 2014,Shareholder Returns,298.0,3.71,12.43
CIPLA,Mar 2015,Mixed,223.0,2.43,8.37
CIPLA,Mar 2016,Mixed,-2792.0,-24.69,32.87
CIPLA,Mar 2017,Shareholder Returns,1078.0,9.06,9.06
CIPLA,Mar 2018,Shareholder Returns,629.0,5.1,5.5
CIPLA,Mar 2019,Shareholder Returns,3.0,0.02,10.32
CIPLA,Mar 2020,Liquidating Assets,3182.0,22.85,0.67
CIPLA,Mar 2021,Shareholder Returns,1381.0,9.26,12.39
CIPLA,Mar 2022,Shareholder Returns,1468.0,8.53,8.54
CIPLA,Mar 2023,Shareholder Returns,862.0,4.86,10.44
CIPLA,Mar 2024,Shareholder Returns,1152.0,5.91,11.57
COALINDIA,Mar 2013,Shareholder Returns,7276.0,14.49,2.68
COALINDIA,Mar 2014,Liquidating Assets,23105.0,43.72,12.15
COALINDIA,Mar 2015,Liquidating Assets,15276.0,26.91,1.21
COALINDIA,Mar 2016,Liquidating Assets,21308.0,36.03,10.47
COALINDIA,Mar 2017,Liquidating Assets,16916.0,25.74,0.58
COALINDIA,Mar 2018,Shareholder Returns,13368.0,17.6,9.09
COALINDIA,Mar 2019,Shareholder Returns,8460.0,11.34,7.93
COALINDIA,Mar 2020,Liquidating Assets,6010.0,8.07,1.08
COALINDIA,Mar 2021,Liquidating Assets,10774.0,15.09,0.2
COALINDIA,Mar 2022,Shareholder Returns,15392.0,18.11,23.44
COALINDIA,Mar 2023,Shareholder Returns,12269.0,13.05,16.97
COALINDIA,Mar 2024,Shareholder Returns,13617.0,14.43,3.15
DABUR,Mar 2013,Shareholder Returns,248.0,25.0,10.13
DABUR,Mar 2014,Shareholder Returns,994.0,85.54,1.47
DABUR,Mar 2015,Shareholder Returns,171.0,12.95,11.24
DABUR,Mar 2016,Shareholder Returns,457.0,30.11,9.38
DABUR,Mar 2017,Shareholder Returns,420.0,27.78,10.6
DABUR,Mar 2018,Shareholder Returns,551.0,34.08,7.01
DABUR,Mar 2019,Liquidating Assets,1837.0,105.57,3.97
DABUR,Mar 2020,Shareholder Returns,1097.0,61.22,5.95
DABUR,Mar 2021,Shareholder Returns,711.0,35.51,14.68
DABUR,Mar 2022,Shareholder Returns,529.0,23.49,11.69
DABUR,Mar 2023,Shareholder Returns,905.0,41.86,5.06
DABUR,Mar 2024,Shareholder Returns,1042.0,43.42,7.83
DIVISLAB,Mar 2013,Reinvestor,225.0,27.57,11.89
DIVISLAB,Mar 2014,Reinvestor,252.0,24.75,12.05
DIVISLAB,Mar 2015,Reinvestor,305.0,26.0,16.73
DIVISLAB,Mar 2016,Reinvestor,632.0,44.41,10.75
DIVISLAB,Mar 2017,Mixed,10.0,0.69,28.05
DIVISLAB,Mar 2018,Reinvestor,298.0,23.48,12.28
DIVISLAB,Mar 2019,Reinvestor,269.0,14.35,13.85
